date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab,away_avg,home_avg,raw_date,game_id
2025-08-19,,삼성,NC,6,2,승,패,6.0,7.0,1.0,0.0,32.0,34.0,0.1875,0.2059,20250819,20250819SSNC0
2025-08-19,,두산,한화,6,5,승,패,7.0,8.0,0.0,2.0,30.0,33.0,0.2333,0.2424,20250819,20250819OBHH0
2025-08-19,,두산,한화,6,5,승,패,7.0,8.0,0.0,2.0,30.0,33.0,0.2333,0.2424,20250819,20250819OBHH0
2025-08-20,,SSG,KT,5,3,승,패,15.0,8.0,0.0,1.0,39.0,34.0,0.3846,0.2353,20250820,20250820SKKT0
2025-08-20,,두산,한화,13,9,승,패,16.0,11.0,0.0,1.0,42.0,35.0,0.381,0.3143,20250820,20250820OBHH0
2025-08-20,,롯데,LG,3,5,패,승,5.0,9.0,1.0,1.0,32.0,31.0,0.1562,0.2903,20250820,20250820LTLG0
2025-08-20,,삼성,NC,4,3,승,패,9.0,8.0,0.0,1.0,33.0,31.0,0.2727,0.2581,20250820,20250820SSNC0
2025-08-20,,키움,KIA,6,1,승,패,10.0,5.0,0.0,1.0,35.0,31.0,0.2857,0.1613,20250820,20250820WOHT0
2025-08-21,,롯데,LG,6,6,무,무,11.0,15.0,1.0,2.0,40.0,48.0,0.275,0.3125,20250821,20250821LTLG0
2025-08-21,,삼성,NC,5,7,패,승,11.0,8.0,0.0,5.0,35.0,30.0,0.3143,0.2667,20250821,20250821SSNC0
2025-08-21,,SSG,KT,7,1,승,패,12.0,6.0,0.0,0.0,37.0,33.0,0.3243,0.1818,20250821,20250821SKKT0
2025-08-21,,키움,KIA,11,10,승,패,16.0,14.0,1.0,3.0,41.0,38.0,0.3902,0.3684,20250821,20250821WOHT0
2025-08-21,,두산,한화,6,3,승,패,10.0,9.0,2.0,0.0,34.0,35.0,0.2941,0.2571,20250821,20250821OBHH0
2025-08-22,,KT,두산,13,8,승,패,16.0,14.0,1.0,1.0,41.0,40.0,0.3902,0.35,20250822,20250822KTOB0
2025-08-22,,키움,삼성,2,8,패,승,7.0,10.0,0.0,1.0,32.0,34.0,0.2188,0.2941,20250822,20250822WOSS0
2025-08-22,,롯데,NC,6,7,패,승,10.0,10.0,1.0,0.0,36.0,36.0,0.2778,0.2778,20250822,20250822LTNC0
2025-08-22,,LG,KIA,14,2,승,패,12.0,8.0,3.0,1.0,36.0,34.0,0.3333,0.2353,20250822,20250822LGHT0
2025-08-22,,SSG,한화,1,0,승,패,7.0,6.0,0.0,0.0,37.0,35.0,0.1892,0.1714,20250822,20250822SKHH0
2025-08-23,,SSG,한화,0,5,패,승,6.0,9.0,0.0,0.0,33.0,28.0,0.1818,0.3214,20250823,20250823SKHH0
2025-08-23,,LG,KIA,6,2,승,패,9.0,7.0,1.0,0.0,34.0,34.0,0.2647,0.2059,20250823,20250823LGHT0
2025-08-23,,키움,삼성,8,12,패,승,13.0,14.0,1.0,2.0,39.0,37.0,0.3333,0.3784,20250823,20250823WOSS0
2025-08-23,,롯데,NC,1,4,패,승,7.0,8.0,0.0,0.0,33.0,29.0,0.2121,0.2759,20250823,20250823LTNC0
2025-08-23,,KT,두산,6,2,승,패,12.0,9.0,0.0,0.0,37.0,33.0,0.3243,0.2727,20250823,20250823KTOB0
2025-08-24,,KT,두산,3,2,승,패,7.0,4.0,1.0,0.0,32.0,31.0,0.2188,0.129,20250824,20250824KTOB0
2025-08-24,,키움,삼성,4,7,패,승,9.0,11.0,2.0,1.0,35.0,34.0,0.2571,0.3235,20250824,20250824WOSS0
2025-08-24,,롯데,NC,17,5,승,패,16.0,6.0,2.0,2.0,43.0,33.0,0.3721,0.1818,20250824,20250824LTNC0
2025-08-24,,LG,KIA,2,1,승,패,7.0,13.0,0.0,1.0,33.0,38.0,0.2121,0.3421,20250824,20250824LGHT0
2025-08-24,,SSG,한화,2,5,패,승,4.0,8.0,1.0,1.0,30.0,30.0,0.1333,0.2667,20250824,20250824SKHH0
2025-08-26,,한화,키움,3,1,승,패,8.0,5.0,1.0,0.0,33.0,32.0,0.2424,0.1562,20250826,20250826HHWO0
